DEBUG:api.tasks: Created coinmarketcap obj: 2018-11-02 18:39:00.408595+00:00 (2018-11-02 18:39:00; tasks.py:27)
DEBUG:api.tasks: Created Coinsuper obj: 2018-11-02 18:39:00.466917+00:00 (2018-11-02 18:39:00; tasks.py:43)
DEBUG:api.tasks: Created TokenJar obj: 2018-11-02 18:39:00.469435+00:00 (2018-11-02 18:39:00; tasks.py:67)
DEBUG:api.tasks: Created Idex obj: 2018-11-02 18:39:00.471768+00:00 (2018-11-02 18:39:00; tasks.py:55)
DEBUG:api.tasks: Created coinmarketcap obj: 2018-11-02 18:40:01.839730+00:00 (2018-11-02 18:40:01; tasks.py:27)
DEBUG:api.tasks: Created Coinsuper obj: 2018-11-02 18:40:02.967605+00:00 (2018-11-02 18:40:02; tasks.py:43)
DEBUG:api.tasks: Created TokenJar obj: 2018-11-02 18:40:02.975125+00:00 (2018-11-02 18:40:02; tasks.py:67)
DEBUG:api.tasks: Created Idex obj: 2018-11-02 18:40:02.978776+00:00 (2018-11-02 18:40:02; tasks.py:55)
DEBUG:api.tasks: Created coinmarketcap obj: 2018-11-02 18:41:00.357123+00:00 (2018-11-02 18:41:00; tasks.py:27)
DEBUG:api.tasks: Created Coinsuper obj: 2018-11-02 18:41:00.427133+00:00 (2018-11-02 18:41:00; tasks.py:43)
DEBUG:api.tasks: Created TokenJar obj: 2018-11-02 18:41:00.429917+00:00 (2018-11-02 18:41:00; tasks.py:67)
DEBUG:api.tasks: Created Idex obj: 2018-11-02 18:41:00.436007+00:00 (2018-11-02 18:41:00; tasks.py:55)
